yr,mo,dy,date,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1950,5,1,01/05/1950,LA,2,7,0,31.55,-92.9,31.57,-92.85,3.6,100
1950,5,1,01/05/1950,MS,1,0,0,31.73,-91.07,0,0,0.1,10
1950,5,1,01/05/1950,MS,1,0,0,31.55,-91.38,0,0,0.1,10
1950,5,2,02/05/1950,LA,1,1,0,31.67,-92.9,32,-92.5,32.8,150
1950,5,2,02/05/1950,LA,2,5,1,31.55,-91.97,0,0,2,100
1950,5,4,04/05/1950,IA,1,0,0,40.95,-95.73,0,0,0.1,10
1950,5,4,04/05/1950,KS,1,0,0,38.68,-99.32,0,0,0.1,10
1950,5,4,04/05/1950,KS,4,1,0,38.03,-99.12,38.45,-98.78,34.3,150
1950,5,4,04/05/1950,OK,1,0,0,35.58,-99.17,0,0,0.1,10
1950,5,4,04/05/1950,OK,2,0,0,35.25,-99.55,35.32,-99.5,5.6,293
1950,5,4,04/05/1950,OK,2,0,0,36.57,-99.57,0,0,1,100
1950,5,4,04/05/1950,TX,2,13,1,36.4,-100.8,36.42,-100.77,1.9,50
1950,5,5,05/05/1950,KS,3,12,0,39.62,-95.62,39.85,-95.52,17.3,440
1950,5,7,07/05/1950,OK,1,0,0,36.3,-99.8,0,0,0.1,10
1950,5,7,07/05/1950,OK,1,0,0,36,-97,0,0,0.1,10
1950,5,7,07/05/1950,OK,2,3,0,36.12,-97.83,36.17,-97.78,4.3,10
1950,5,8,08/05/1950,FL,1,0,0,29.13,-81.35,0,0,0.3,30
1950,5,8,08/05/1950,IA,2,0,0,41.03,-95.27,41.02,-95.22,0.1,200
1950,5,8,08/05/1950,KS,1,1,0,39.4,-97.65,0,0,0.1,10
1950,5,8,08/05/1950,KS,1,0,0,39.72,-97.77,0,0,0.1,10
1950,5,8,08/05/1950,KS,2,0,0,39.35,-98.48,39.47,-98.3,12.6,660
1950,5,8,08/05/1950,KS,2,1,0,39.57,-98.3,39.63,-98.2,6.8,10
1950,5,8,08/05/1950,KS,2,2,0,39.23,-98.95,39.23,-98.58,19.6,440
1950,5,8,08/05/1950,NE,2,1,0,40.38,-95.8,40.28,-95.68,8.8,467
1950,5,8,08/05/1950,SD,1,0,0,43.38,-97.97,0,0,1,10
1950,5,9,09/05/1950,KS,1,0,0,39.2,-96.58,0,0,0.1,10
1950,5,9,09/05/1950,OK,1,0,0,34.77,-96.83,0,0,0.8,200
1950,5,10,10/05/1950,WY,2,0,0,41.18,-110.42,0,0,2,33
1950,5,11,11/05/1950,OK,1,0,0,36.82,-100.52,0,0,0.5,77
1950,5,12,12/05/1950,NC,0,0,0,35.73,-78.4,0,0,1,200
1950,5,12,12/05/1950,NC,1,0,0,35.75,-77.42,0,0,2,10
1950,5,12,12/05/1950,NC,1,0,0,35.73,-78.4,0,0,1,200
1950,5,13,13/05/1950,LA,1,0,0,31.15,-91.95,0,0,2,27
1950,5,14,14/05/1950,NC,1,0,0,35.3,-79.8,35.33,-79.75,3.8,50
1950,5,14,14/05/1950,NC,2,5,0,35,-80.68,0,0,2,10
